Question,True_Answer,LLM_Answer,Retrieved_Context
Who is the gamekeeper at Hogwarts?,Rubeus Hagrid,The gamekeeper at Hogwarts is Hagrid.,"eart
leapt. There were no Aurors waiting outside the inn, but instead the gigantic,
black-bearded form of Rubeus Hagrid, the Hogwarts gamekeeper, wearing a
long beaverskin coat, beaming at the sight of Harry’s face and oblivious to the
startled stares of passing Muggles.“Harry!” he boomed, sweeping Harry into a bone-crushing hug the moment
Harry had stepped out of the car. “Buckbeak — Witherwings, I mean — yeh
should see him, Harry, he’s so happy ter be back in the open air —”
“Glad he’s pleased,” said Harr ists.) Hagrid, the Hogwarts gamekeeper, had
obliged with a sack full of his own homemade rock cakes. (Harry hadn’t
touched these; he had had too much experience of Hagrid’s cooking.) Mrs.
Weasley, however, had sent the family owl, Errol, with an enormous fruitcake
and assorted meat pies. Poor Errol, who was elderly and feeble, had needed a
full five days to recover from the journey. And then on Harry’s birthday(which the Dursleys had completely ignored) he had received four superb
birthday cakes, one each f im ’ere on the
Knight Bus, di’n’t we, Ern? ’E was tryin’ to run for it. . . .”
He, Harry, had broken Wizard law just like Sirius Black. Was inflating
Aunt Marge bad enough to land him in Azkaban? Harry didn’t know anything
about the wizard prison, though everyone he’d ever heard speak of it did so in
the same fearful tone. Hagrid, the Hogwarts gamekeeper, had spent two
months there only last year. Harry wouldn’t soon forget the look of terror on
Hagrid’s face when he had been told where he was going, and Ha"
What position does Harry play on his Quidditch team?,Seeker,"According to the passage, Harry plays Beater on the Gryffindor Quidditch team.","ay on the Quidditch team . . .”
“Yeah, that’s right,” said Ron in a heartened tone. “And we 
have 
got plenty
of time to do it all . . .”
Harry glanced over to his right as they approached the Quidditch pitch, to
where the trees of the Forbidden Forest were swaying darkly. Nothing flew
out of them; the sky was empty but for a few distant owls fluttering around
the Owlery Tower. He had enough to worry about; the flying horse wasn’t
doing him any harm: He pushed it out of his mind.
They collected balls from t  distant chair. A closer look
showed him that it was Cormac McLaggen.
“I’ve been waiting for you to come back,” said McLaggen, disregarding
Harry’s drawn wand. “Must’ve fallen asleep. Look, I saw them taking
Weasley up to the hospital wing earlier. Didn’t look like he’ll be fit for next
week’s match.”
It took Harry a few moments to realize what McLaggen was talking about.
“Oh . . . right . . . Quidditch,” he said, putting his wand back into the belt of
his jeans and running a hand wearily through his hair.  , but he had another reason for not
wanting Snape near him while he was playing Quidditch. . . .
The rest of the team hung back to talk to one another as usual at the end of
practice, but Harry headed straight back to the Gryffindor common room,
where he found Ron and Hermione playing chess. Chess was the only thing
Hermione ever lost at, something Harry and Ron thought was very good for
her.
“Don’t talk to me for a moment,” said Ron when Harry sat down next to
him, “I need to concen —” He caught sight of H"
Who is the ghost of Gryffindor House?,Nearly Headless Nick,The ghost of Gryffindor House is Nearly Headless Nick.,"k, the Gryffindor
House ghost, and Parvati Patil and Lavender Brown, the last two of whom
gave Harry airy, overly friendly greetings that made him quite sure they had
stopped talking about him a split second before. He had more important
things to worry about, however: He was looking over the students’ heads to
the staff table that ran along the top wall of the Hall.
“He’s not there.”
Ron and Hermione scanned the staff table too, though there was no real
need; Hagrid’s size made him instantly obvious in any ching the
bottom of the stairs, where Nearly Headless Nick, ghost of Gryffindor Tower,
stood waiting for him.
“Harry! My dear boy!”Nick made to grasp Harry’s hands with both of his own: Harry’s felt as
though they had been thrust into icy water.
“Nick, you’ve got to help me. Who’s the ghost of Ravenclaw Tower?”
Nearly Headless Nick looked surprised and a little offended.
“The Gray Lady, of course; but if it is ghostly services you require — ?”
“It’s got to be her — d’you know where she is?”
“Let’s see. . .  oating over the tables in midair. The four long House
tables were packed with chattering students; at the top of the Hall, the staff sat
along one side of a fifth table, facing their pupils. It was much warmer in
here. Harry, Ron, and Hermione walked past the Slytherins, the Ravenclaws,
and the Hufflepuffs, and sat down with the rest of the Gryffindors at the farside of the Hall, next to Nearly Headless Nick, the Gryffindor ghost. Pearly
white and semitransparent, Nick was dressed tonight in his usual doubl"
What magical creature pulls the carriages to Hogwarts?,Thestrals,"According to the books, the magical creature that pulls the carriages to Hogwarts is a Thestrals.","trolley around to face the exit.
“C’mon, let’s go. If we hurry we’ll be able to follow the Hogwarts Express
—”
And they marched off through the crowd of curious Muggles, out of the
station and back onto the side road where the old Ford Anglia was parked.
Ron unlocked the cavernous trunk with a series of taps from his wand.
They heaved their luggage back in, put Hedwig on the back seat, and got into
the front.
“Check that no one’s watching,” said Ron, starting the ignition with another
tap of his wand. Harry f
the Hog’s Head and the witch who pushed the trolley on the Hogwarts
Express. The castle ghosts were there too, barely visible in the bright sunlight,
discernible only when they moved, shimmering insubstantially on the
gleaming air.Harry, Ron, Hermione, and Ginny filed into seats at the end of a row beside
the lake. People were whispering to each other; it sounded like a breeze in the
grass, but the birdsong was louder by far. The crowd continued to swell; with
a great rush of affection for both of them, H eks beforehand. A limited number use Muggle
transport, but we can’t have too many clogging up their buses and trains —
remember, wizards are coming from all over the world. Some Apparate, of
course, but we have to set up safe points for them to appear, well away from
Muggles. I believe there’s a handy wood they’re using as the Apparition
point. For those who don’t want to Apparate, or can’t, we use Portkeys.
They’re objects that are used to transport wizards from one spot to another at
a prearranged time. Y"
What is the name of the house elf who serves the Malfoy family?,Dobby,"According to the text, the house-elf who serves the Malfoy family is Dobby."," Malfoy made Dudley Dursley look like a kind,
thoughtful, and sensitive boy.
“I don’t know whether the Malfoys own a house-elf. . . .” said Harry.
“Well, whoever owns him will be an old Wizarding family, and they’ll be
rich,” said Fred.
“Yeah, Mum’s always wishing we had a house-elf to do the ironing,” said
George. “But all we’ve got is a lousy old ghoul in the attic and gnomes all
over the garden. House-elves come with big old manors and castles and
places like that; you wouldn’t catch one in our house. .   wearily to Harry. “I’m no
great shakes at languages; I need Barty Crouch for this sort of thing. Ah, I see
his house-elf’s saving him a seat. . . . Good job too, these Bulgarian blighters
have been trying to cadge all the best places . . . ah, and here’s Lucius!”
Harry, Ron, and Hermione turned quickly. Edging along the second row to
three still-empty seats right behind Mr. Weasley were none other than Dobby
the house-elf’s former owners: Lucius Malfoy; his son, Draco; and a woman
Harry supposed must be Dr r
to a house-elf!”
“Yeah, we don’t need to hear about you being in love with Malfoy,” Harry
told Kreacher. “Let’s fast forward to where he’s actually been going.”
Kreacher bowed again, looking furious, and then said, “Master Malfoy eats
in the Great Hall, he sleeps in a dormitory in the dungeons, he attends his
classes in a variety of —”
“Dobby, you tell me,” said Harry, cutting across Kreacher. “Has he been
going anywhere he shouldn’t have?”
“Harry Potter, sir,” squeaked Dobby, his great orblike eyes shini"
Who is the Half-Blood Prince?,Severus Snape,"The Half-Blood Prince is revealed to be Severus Snape, who is half-blood due to his Muggle father, Tobias Snape, and pure-blood mother.","n of his father had reminded him that there was something he
had been looking forward to asking Lupin.
“Have you ever heard of someone called the Half-Blood Prince?”
“The Half-Blood what?”
“Prince,” said Harry, watching him closely for signs of recognition.
“There are no Wizarding princes,” said Lupin, now smiling. “Is this a title
you’re thinking of adopting? I should have thought being ‘the Chosen One’
would be enough.”
“It’s nothing to do with me!” said Harry indignantly. “The Half-Blood
Prince is someon n birth to a —”
“— murderer,” spat Harry.
“Well . . . yes,” said Hermione. “So . . . I was sort of right. Snape must have
been proud of being ‘half a Prince,’ you see? Tobias Snape was a Muggle
from what it said in the 
Prophet.
”
“Yeah, that fits,” said Harry. “He’d play up the pure-blood side so he could
get in with Lucius Malfoy and the rest of them. . . . He’s just like Voldemort.
Pure-blood mother, Muggle father . . . ashamed of his parentage, trying to
make himself feared using the Dark Arts, gave him  If, say, her father wasa wizard whose surname was Prince, and her mother was a Muggle, then that
would make her a ‘half-blood Prince’!”
“Yeah, very ingenious, Hermione . . .”
“But it would! Maybe she was proud of being half a Prince!”
“Listen, Hermione, I can tell it’s not a girl. I can just tell.”
“The truth is that you don’t think a girl would have been clever enough,”
said Hermione angrily.
“How can I have hung round with you for five years and not think girls are
clever?” said Harry, stung by this. “It"
What is the spell to summon objects?,Accio,"The spell to summon objects is ""Accio"".","Summoning Charm.
“That’s better, Harry, that’s loads better,” Hermione said, looking exhausted
but very pleased.
“Well, now we know what to do next time I can’t manage a spell,” Harry
said, throwing a rune dictionary back to Hermione, so he could try again,
“threaten me with a dragon. Right . . .” He raised his wand once more. 
“Accio
Dictionary!”
The heavy book soared out of Hermione’s hand, flew across the room, and
Harry caught it.
“Harry, I really think you’ve got it!” said Hermione delightedly.
“Just a y, pointing the wand’s beam at it. This looked
like some kind of enchantment. He wondered whether he might be able to
blast it out of the way.
“Reducto!”
 he said.
The spell shot straight through the mist, leaving it intact. He supposed he
should have known better; the Reductor Curse was for solid objects. What
would happen if he walked through the mist? Was it worth chancing it, or
should he double back?
He was still hesitating when a scream shattered the silence.
“Fleur?” Harry yelled.
There was silence.  agic?” he repeated in a whisper.“That’s right,” said Dumbledore.
“It’s . . . it’s magic, what I can do?”
“What is it that you can do?”
“All sorts,” breathed Riddle. A flush of excitement was rising up his neck
into his hollow cheeks; he looked fevered. “I can make things move without
touching them. I can make animals do what I want them to do, without
training them. I can make bad things happen to people who annoy me. I can
make them hurt if I want to.”
His legs were trembling. He stumbled forward and sat d"
Who is the defense against the dark arts teacher in Harry's first year?,Quirinus Quirrell,"According to the text, the Defense Against the Dark Arts teacher in Harry's first year is Professor Lupin.","was still fighting his way across the
lake with the first years; Professor McGonagall was presumably supervisingthe drying of the entrance hall floor, but there was another empty chair too,
and Harry couldn’t think who else was missing.
“Where’s the new Defense Against the Dark Arts teacher?” said Hermione,
who was also looking up at the teachers.
They had never yet had a Defense Against the Dark Arts teacher who had
lasted more than three terms. Harry’s favorite by far had been Professor
Lupin, who had res he teaches?” said Ron, frowning at Professor Lupin’s pallid
profile.
“That’s obvious,” whispered Hermione. “There’s only one vacancy, isn’t
there? Defense Against the Dark Arts.”
Harry, Ron, and Hermione had already had two Defense Against the Dark
Arts teachers, both of whom had lasted only one year. There were rumors that
the job was jinxed.
“Well, I hope he’s up to it,” said Ron doubtfully. “He looks like one good
hex would finish him off, doesn’t he? Anyway . . .” He turned to Harry.
“What were you goin e,” said Lupin. “I tried to follow him, but was thrown back just like
Neville. . . .”“He must have known a spell we didn’t,” whispered McGonagall. “After
all — he was the Defense Against the Dark Arts teacher. . . . I just assumed
that he was in a hurry to chase after the Death Eaters who’d escaped up to the
tower. . . .”
“He was,” said Harry savagely, “but to help them, not to stop them . . . and
I’ll bet you had to have a Dark Mark to get through that barrier — so what
happened when he came back down?”
“W"
What is the name of the three-headed dog that guards the Philosopher's Stone?,Fluffy,The three-headed dog that guards the Philosopher's Stone is named Fluffy.," knew you’d seen me coming to look at what was guarding
the Stone.”
“
You
 let the troll in?”
“Certainly. I have a special gift with trolls — you must have seen what I
did to the one in the chamber back there? Unfortunately, while everyone else
was running around looking for it, Snape, who already suspected me, went
straight to the third floor to head me off — and not only did my troll fail to
beat you to death, that three-headed dog didn’t even manage to bite Snape’s
leg off properly.
“Now, wait quietly, P ht into the eyes of a monstrous dog, a dog thatfilled the whole space between ceiling and floor. It had three heads. Three
pairs of rolling, mad eyes; three noses, twitching and quivering in their
direction; three drooling mouths, saliva hanging in slippery ropes from
yellowish fangs.
It was standing quite still, all six eyes staring at them, and Harry knew that
the only reason they weren’t already dead was that their sudden appearance
had taken it by surprise, but it was quickly getting over that, there wa  Mr. Flamel,
who celebrated his six hundred and sixty-fifth birthday last year,
enjoys a quiet life in Devon with his wife, Perenelle (six hundred
and fifty-eight).
“See?” said Hermione, when Harry and Ron had finished. “The dog must be
guarding Flamel’s Sorcerer’s Stone! I bet he asked Dumbledore to keep it safe
for him, because they’re friends and he knew someone was after it, that’s why
he wanted the Stone moved out of Gringotts!”
“A stone that makes gold and stops you from ever dying!” said Harry. “No
w"
What creature is Aragog?,Acromantula,Aragog is a giant spider.,"pes shifted all around him.
“The thing that lives in the castle,” said Aragog, “is an ancient creature we
spiders fear above all others. Well do I remember how I pleaded with Hagrid
to let me go, when I sensed the beast moving about the school.”
“What is it?” said Harry urgently.
More loud clicking, more rustling; the spiders seemed to be closing in.
“We do not speak of it!” said Aragog fiercely. “We do not name it! I never
even told Hagrid the name of that dread creature, though he asked me, many
times.”
H Aragog.”
“Aragog,” said Harry and Hagrid together.
Both Slughorn and Hagrid drank deeply. Harry, however, with the way
ahead illuminated for him by Felix Felicis, knew that he must not drink, so he
merely pretended to take a gulp and then set the mug back on the table before
him.
“I had him from an egg, yeh know,” said Hagrid morosely. “Tiny little
thing he was when he hatched. ’Bout the size of a Pekingese.”
“Sweet,” said Slughorn.
“Used ter keep him in a cupboard up at the school until . . . well . . .”
H  with his brutal giant of a half-brother,
but this was perhaps the most incomprehensible of all his monster fancies: the
gigantic talking spider, Aragog, who dwelled deep in the Forbidden Forest
and which he and Ron had only narrowly escaped four years previously.
“Is there — is there anything we can do?” Hermione asked, ignoring Ron’s
frantic grimaces and head-shakings.
“I don’ think there is, Hermione,” choked Hagrid, attempting to stem the
flood of his tears. “See, the rest o’ the tribe . . . Aragog’s fa"
Who does Harry marry?,Ginny Weasley,"According to the given context, Harry Potter marries Ginny Weasley."," “You are 
so
 like Ron —”
“— and he said he’d come to see her off! And then he told me to go away.
He’s 
snogging 
her!” James added as though worried he had not made himself
clear.
“Oh, it would be lovely if they got married!” whispered Lily ecstatically.
“Teddy would 
really 
be part of the family then!”
“He already comes round for dinner about four times a week,” said Harry.
“Why don’t we just invite him to live with us and have done with it?”
“Yeah!” said James enthusiastically. “I don’t mind sharing w ing to be married!”“Oh,” said Harry blankly. He could not help noticing how Mrs. Weasley,
Hermione, and Ginny were all determinedly avoiding one another’s gaze.
“Wow. Er — congratulations!”
She swooped down upon him and kissed him again.
“Bill is very busy at ze moment, working very ’ard, and I only work part-
time at Gringotts for my Eenglish, so he brought me ’ere for a few days to get
to know ’is family properly. I was so pleased to ’ear you would be coming —
zere isn’t much to do ’ere, unless you like c at he really is going to marry
her,” sighed Ginny later that evening, as she, Harry, Ron, and Hermione sat
beside the open window of the Gryffindor common room, looking out over
the twilit grounds.
“She’s not that bad,” said Harry. “Ugly, though,” he added hastily, as Ginny
raised her eyebrows, and she let out a reluctant giggle.
“Well, I suppose if Mum can stand it, I can.”
“Anyone else we know died?” Ron asked Hermione, who was perusing the
Evening Prophet.
Hermione winced at the forced toughness in his v"
