Question,True_Answer,LLM_Answer,Retrieved_Context
Who is Harry Potter's best friend?,Ron Weasley,"According to the provided context, Harry Potter's best friends are Hermione Granger and Ron Weasley.","
sniggered, but Slughorn showed no dismay; on the contrary, he beamed and
looked from Hermione to Harry, who was sitting next to her.
“Oho! 
‘One of my best friends is Muggle-born, and she’s the best in our
year!’
 I’m assuming this is the very friend of whom you spoke, Harry?”
“Yes, sir,” said Harry.
“Well, well, take twenty well-earned points for Gryffindor, Miss Granger,”
said Slughorn genially.
Malfoy looked rather as he had done the time Hermione had punched him
in the face. Hermione turned to Harry with a radiant expression and
whispered, “Did you really tell him I’m the best in the year? Oh, Harry!”
“Well, what’s so impressive about that?” whispered Ron, who for somereason looked annoyed. “You 
are
 the best in the year — I’d’ve told him so if
he’d asked me!”
Hermione smiled but made a “shhing” gesture, so that they could hear what
Slughorn was saying. Ron looked slightly disgruntled.
“Amortentia doesn’t really create 
love,
 of course. It is impossible to
manufacture or imitate love. No, this will sim . Again, your readers will have to buy my book for the
whole story, but there is no question that Dumbledore took an unnatural
interest in Potter from the word go. Whether that was really in the boy’s
best interests — well, we’ll see. It’s certainly an open secret that Potter
has had a most troubled adolescence.”
I ask whether Skeeter is still in touch with Harry Potter, whom she so
famously interviewed last year: a breakthrough piece in which Potter
spoke exclusively of his conviction that You-Know-Who had returned.
“Oh, yes, we’ve developed a close bond,” says Skeeter. “Poor Potter
has few real friends, and we met at one of the most testing moments of
his life — the Triwizard Tournament. I am probably one of the only
people alive who can say that they know the real Harry Potter.”
Which leads us neatly to the many rumors still circulating about
Dumbledore’s final hours. Does Skeeter believe that Potter was there
when Dumbledore died?
“Well, I don’t want to say too much — it’s all in the book — but
eyewitness tion of the mouthpiece. “WHO
ARE YOU?”
“RON — WEASLEY!” Ron bellowed back, as though he and Uncle
Vernon were speaking from opposite ends of a football field. “I’M — A —
FRIEND — OF — HARRY’S — FROM — SCHOOL —”
Uncle Vernon’s small eyes swiveled around to Harry, who was rooted to the
spot.
“THERE IS NO HARRY POTTER HERE!” he roared, now holding the
receiver at arm’s length, as though frightened it might explode. “I DON’T
KNOW WHAT SCHOOL YOU’RE TALKING ABOUT! NEVER
CONTACT ME AGAIN! DON’T YOU COME NEAR MY FAMILY!”
And he threw the receiver back onto the telephone as if dropping a
poisonous spider.The fight that had followed had been one of the worst ever.
“HOW DARE YOU GIVE THIS NUMBER TO PEOPLE LIKE —
PEOPLE LIKE 
YOU
!”
 
Uncle Vernon had roared, spraying Harry with spit.
Ron obviously realized that he’d gotten Harry into trouble, because he
hadn’t called again. Harry’s other best friend from Hogwarts, Hermione
Granger, hadn’t been in touch either. Harry suspected that Ron had warned
Hermione not to call, w"
What house is Harry Potter sorted into?,Gryffindor,"According to the text, Harry Potter is sorted into Gryffindor House.","rom a doorway to the right — the
rest of the school must already be here — but Professor McGonagall showed
the first years into a small, empty chamber off the hall. They crowded in,
standing rather closer together than they would usually have done, peering
about nervously.
“Welcome to Hogwarts,” said Professor McGonagall. “The start-of-term
banquet will begin shortly, but before you take your seats in the Great Hall,
you will be sorted into your Houses. The Sorting is a very importantceremony because, while you are here, your House will be something like
your family within Hogwarts. You will have classes with the rest of your
House, sleep in your House dormitory, and spend free time in your House
common room.
“The four Houses are called Gryffindor, Hufflepuff, Ravenclaw, and
Slytherin. Each House has its own noble history and each has produced
outstanding witches and wizards. While you are at Hogwarts, your triumphs
will earn your House points, while any rule-breaking will lose House points.
At the end of the ter,” said Winky
firmly, from behind her hands. “House-elves does what they is told. I is not
liking heights at all, Harry Potter” — she glanced toward the edge of the box
and gulped — “but my master sends me to the Top Box and I comes, sir.”
“Why’s he sent you up here, if he knows you don’t like heights?” said
Harry, frowning.
“Master — master wants me to save him a seat, Harry Potter. He is very
busy,” said Winky, tilting her head toward the empty space beside her.
“Winky is wishing she is back in master’s tent, Harry Potter, but Winky does
what she is told. Winky is a good house-elf.”
She gave the edge of the box another frightened look and hid her eyes
completely again. Harry turned back to the others.
“So that’s a house-elf?” Ron muttered. “Weird things, aren’t they?”
“Dobby was weirder,” said Harry fervently.
Ron pulled out his Omnioculars and started testing them, staring down into
the crowd on the other side of the stadium.
“Wild!” he said, twiddling the replay knob on the side. “I can make that old
b pened behind Harry. A woman spoke, and the
sound of the voice wound Harry’s fear to an even higher pitch.
“What is this? What’s happened, Cissy?”
Bellatrix Lestrange walked slowly around the prisoners, and stopped on
Harry’s right, staring at Hermione through her heavily lidded eyes.
“But surely,” she said quietly, “this is the Mudblood girl? This is Granger?”
“Yes, yes, it’s Granger!” cried Lucius. “And beside her, we think, Potter!
Potter and his friends, caught at last!”
“Potter?” shrieked Bellatrix, and she backed away, the better to take in
Harry. “Are you sure? Well then, the Dark Lord must be informed at once!”
She dragged back her left sleeve: Harry saw the Dark Mark burned into the
flesh of her arm, and knew that she was about to touch it, to summon her
beloved master —
“I was about to call him!” said Lucius, and his hand actually closed upon
Bellatrix’s wrist, preventing her from touching the Mark. “
I 
shall summon
him, Bella, Potter has been brought to my house, and it is therefore upon my
authori"
What is the name of Harry Potter's owl?,Hedwig,The name of Harry Potter's owl is Hedwig.,"er his shoulder. “What’s thatthing outside your window?”
Harry turned to look outside. Something very small and gray was bobbing
in and out of sight beyond the glass. He stood up for a better look and saw
that it was a tiny owl, carrying a letter that was much too big for it. The owl
was so small, in fact, that it kept tumbling over in the air, buffeted this way
and that in the train’s slipstream. Harry quickly pulled down the window,
stretched out his arm, and caught it. It felt like a very fluffy Snitch. He
brought it carefully inside. The owl dropped its letter onto Harry’s seat and
began zooming around their compartment, apparently very pleased with itself
for accomplishing its task. Hedwig clicked her beak with a sort of dignified
disapproval. Crookshanks sat up in his seat, following the owl with his great
yellow eyes. Ron, noticing this, snatched the owl safely out of harm’s way.
Harry picked up the letter. It was addressed to him. He ripped open the
letter, and shouted, “It’s from Sirius!”
“What?” sai d Ron and Hermione excitedly. “Read it aloud!”
Dear Harry,
I hope this finds you before you reach your aunt and uncle. I don’t
know whether they’re used to owl post.
Buckbeak and I are in hiding. I won’t tell you where, in case this falls
into the wrong hands. I have some doubt about the owl’s reliability, but
he is the best I could find, and he did seem eager for the job.
I believe the dementors are still searching for me, but they haven’t a
hope of finding me here. I am planning to allow some Muggles to
glimpse me soon, a long way from Hogwarts, so that the security on the
castle will be lifted.
There is something I never got around to telling you during our brief
meeting. It was I who sent you the Firebolt —
“Ha!” said Hermione triumphantly. “See! I 
told
 you it was from him!”
“Yes, but he hadn’t jinxed it, had he?” said Ron. “Ouch!”
The tiny owl, now hooting happily in his hand, had nibbled one of hisfingers in what it seemed to think was an affectionate way.
Crookshanks took the order to the Owl Office  denly a loud tapping noise.
And there’s Aunt Petunia knocking on the door,
 Harry thought, his heart
sinking. But he still didn’t open his eyes. It had been such a good dream.
Tap. Tap. Tap.
“All right,” Harry mumbled, “I’m getting up.”
He sat up and Hagrid’s heavy coat fell off him. The hut was full of sunlight,
the storm was over, Hagrid himself was asleep on the collapsed sofa, and
there was an owl rapping its claw on the window, a newspaper held in its
beak.
Harry scrambled to his feet, so happy he felt as though a large balloon was
swelling inside him. He went straight to the window and jerked it open. The
owl swooped in and dropped the newspaper on top of Hagrid, who didn’t
wake up. The owl then fluttered onto the floor and began to attack Hagrid’scoat.
“Don’t do that.”
Harry tried to wave the owl out of the way, but it snapped its beak fiercely
at him and carried on savaging the coat.
“Hagrid!” said Harry loudly. “There’s an owl —”
“Pay him,” Hagrid grunted into the sofa.
“What?”
“He wants payin’ fer d"
Who is the headmaster of Hogwarts?,Albus Dumbledore,"According to the context, the headmaster of Hogwarts at the time is Professor Dumbledore, who has just been suspended by the governors.","he had just been appointed Head Boy. Harry didn’t realize what he was so
pleased about until the Potions lesson about two weeks after Dumbledore and
Hagrid had left, when, sitting right behind Malfoy, Harry overheard him
gloating to Crabbe and Goyle.
“I always thought Father might be the one who got rid of Dumbledore,” he
said, not troubling to keep his voice down. “I told you he thinks
Dumbledore’s the worst headmaster the school’s ever had. Maybe we’ll get a
decent headmaster now. Someone who won’t 
want
 the Chamber of Secrets
closed. McGonagall won’t last long, she’s only filling in. . . .”
Snape swept past Harry, making no comment about Hermione’s empty seat
and cauldron.
“Sir,” said Malfoy loudly. “Sir, why don’t 
you 
apply for the headmaster’s
job?”
“Now, now, Malfoy,” said Snape, though he couldn’t suppress a thin-lipped
smile. “Professor Dumbledore has only been suspended by the governors. I
daresay he’ll be back with us soon enough.”
“Yeah, right,” said Malfoy, smirking. “I expect you’d have Father  the Hogwarts Express to come
tomorrow if necessary —”
“What about Dumbledore’s funeral?” said Harry, speaking at last.
“Well . . .” said Professor McGonagall, losing a little of her briskness as her
voice shook. “I — I know that it was Dumbledore’s wish to be laid to rest
here, at Hogwarts —”
“Then that’s what’ll happen, isn’t it?” said Harry fiercely.
“If the Ministry thinks it appropriate,” said Professor McGonagall. “No
other headmaster or headmistress has ever been —”
“No other headmaster or headmistress ever gave more to this school,”
growled Hagrid.
“Hogwarts should be Dumbledore’s final resting place,” said Professor
Flitwick.
“Absolutely,” said Professor Sprout.
“And in that case,” said Harry, “you shouldn’t send the students home until
the funeral’s over. They’ll want to say —”
The last word caught in his throat, but Professor Sprout completed the
sentence for him.
“Good-bye.”
“Well said,” squeaked Professor Flitwick. “Well said indeed! Our students
should pay tribute, it is fitting. We can arrange  werewolf Remus Lupin, half-giant Rubeus Hagrid, and delusional
ex-Auror ‘Mad-Eye’ Moody.
“Rumors abound, of course, that Albus Dumbledore, once Supreme
Mugwump of the International Confederation of Wizards and Chief Warlock
of the Wizengamot, is no longer up to the task of managing the prestigious
school of Hogwarts.
“‘I think the appointment of the Inquisitor is a first step toward ensuring
that Hogwarts has a headmaster in whom we can all repose confidence,’ said
a Ministry insider last night.
“Wizengamot elders Griselda Marchbanks and Tiberius Ogden have
resigned in protest at the introduction of the post of Inquisitor to Hogwarts.
“‘Hogwarts is a school, not an outpost of Cornelius Fudge’s office,’ said
Madam Marchbanks. ‘This is a further disgusting attempt to discredit Albus
Dumbledore.’ (For a full account of Madam Marchbanks’ alleged links to
subversive goblin groups, turn to page 17.)”
Hermione finished reading and looked across the table at the other two.
“So now we know how we ended up with Umbridg"
What spell is used to disarm an opponent?,Expelliarmus,The spell used to disarm an opponent is Expelliarmus.," Slytherin girl who
reminded Harry of a picture he’d seen in 
Holidays with Hags.
 She was large
and square and her heavy jaw jutted aggressively. Hermione gave her a weak
smile that she did not return.
“Face your partners!” called Lockhart, back on the platform. “And bow!”
Harry and Malfoy barely inclined their heads, not taking their eyes off each
other.
“Wands at the ready!” shouted Lockhart. “When I count to three, cast your
charms to Disarm your opponents — 
only
 to disarm them — we don’t want
any accidents — one . . . two . . . three —”
Harry swung his wand high, but Malfoy had already started on “two”: His
spell hit Harry so hard he felt as though he’d been hit over the head with a
saucepan. He stumbled, but everything still seemed to be working, and
wasting no more time, Harry pointed his wand straight at Malfoy and shouted,
“Rictusempra!”A jet of silver light hit Malfoy in the stomach and he doubled up, wheezing.
“I said Disarm only!”
 Lockhart shouted in alarm over the heads of the
battling crowd,   briefly how the Death Eaters pursuing them had seemed to
recognize him as the true Harry, how they had abandoned the chase, how they
must have summoned Voldemort, who had appeared just before he and
Hagrid had reached the sanctuary of Tonks’s parents.
“They recognized you? But how? What had you done?”
“I . . .” Harry tried to remember; the whole journey seemed like a blur of
panic and confusion. “I saw Stan Shunpike. . . . You know, the bloke who was
the conductor on the Knight Bus? And I tried to Disarm him instead of —
well, he doesn’t know what he’s doing, does he? He must be Imperiused!”
Lupin looked aghast.
“Harry, the time for Disarming is past! These people are trying to capture
and kill you! At least Stun if you aren’t prepared to kill!”
“We were hundreds of feet up! Stan’s not himself, and if I Stunned him and
he’d fallen, he’d have died the same as if I’d used Avada Kedavra!
Expelliarmus saved me from Voldemort two years ago,” Harry added
defiantly. Lupin was reminding him of the sneering Hufflepuf , from which Harry retrieved it with a Summoning Charm.
Glancing around he thought he had been right to suggest that they practice the
basics first; there was a lot of shoddy spellwork going on; many people were
not succeeding in disarming their opponents at all, but merely causing them to
jump backward a few paces or wince as the feeble spell whooshed over them.“Expelliarmus!” 
said Neville, and Harry, caught unawares, felt his wand
fly out of his hand.
“I DID IT!” said Neville gleefully. “I’ve never done it before — I DID IT!”
“Good one!” said Harry encouragingly, deciding not to point out that in a
real duel situation Neville’s opponent was unlikely to be staring in the
opposite direction with his wand held loosely at his side. “Listen, Neville, can
you take it in turns to practice with Ron and Hermione for a couple of minutes
so I can walk around and see how the rest are doing?”
Harry moved off into the middle of the room. Something very odd was
happening to Zacharias Smith; every time he opened his mouth"
Who teaches Potions at Hogwarts?,Severus Snape,Professor Snape teaches Potions at Hogwarts.,"it by now, though . . . or
Madam Pomfrey would’ve done.”
“It looks as if it’s died,” said Hermione, with a nauseated expression. “But
there are some injuries you can’t cure . . . old curses . . . and there are poisons
without antidotes. . . .”
“. . . and Mr. Filch, our caretaker, has asked me to say that there is a blanket
ban on any joke items bought at the shop called Weasleys’ Wizard Wheezes.
“Those wishing to play for their House Quidditch teams should give their
names to their Heads of House as usual. We are also looking for new
Quidditch commentators, who should do likewise.
“We are pleased to welcome a new member of staff this year. Professor
Slughorn” — Slughorn stood up, his bald head gleaming in the candlelight,
his big waistcoated belly casting the table below into shadow — “is a former
colleague of mine who has agreed to resume his old post of Potions master.”
“Potions?”
“Potions?”
The word echoed all over the Hall as people wondered whether they had
heard right.
“Potions?” said Ron and Hermione t “Oh, you know Quirrell already, do you? No wonder he’s looking so
nervous, that’s Professor Snape. He teaches Potions, but he doesn’t want to —
everyone knows he’s after Quirrell’s job. Knows an awful lot about the Dark
Arts, Snape.”
Harry watched Snape for a while, but Snape didn’t look at him again.
At last, the desserts too disappeared, and Professor Dumbledore got to his
feet again. The hall fell silent.
“Ahem — just a few more words now that we are all fed and watered. I
have a few start-of-term notices to give you.
“First years should note that the forest on the grounds is forbidden to all
pupils. And a few of our older students would do well to remember that aswell.”
Dumbledore’s twinkling eyes flashed in the direction of the Weasley twins.
“I have also been asked by Mr. Filch, the caretaker, to remind you all that
no magic should be used between classes in the corridors.
“Quidditch trials will be held in the second week of the term. Anyone
interested in playing for their House teams should contact Mad inny,” said Ron, whose ears were now reddening.
“
You’re
 just worried I’m going to mess up your chances of being Head Boy
—”
“Five points from Gryffindor!” Percy said tersely, fingering his prefect
badge. “And I hope it teaches you a lesson! No more 
detective work,
 or I’ll
write to Mum!”
And he strode off, the back of his neck as red as Ron’s ears.
Harry, Ron, and Hermione chose seats as far as possible from Percy in the
common room that night. Ron was still in a very bad temper and kept blotting
his Charms homework. When he reached absently for his wand to remove the
smudges, it ignited the parchment. Fuming almost as much as his homework,
Ron slammed 
The Standard Book of Spells, Grade 2
 shut. To Harry’s surprise,
Hermione followed suit.
“Who can it be, though?” she said in a quiet voice, as though continuing a
conversation they had just been having. “Who’d 
want
 to frighten all the
Squibs and Muggle-borns out of Hogwarts?”
“Let’s think,” said Ron in mock puzzlement. “Who do we know who thinks
Muggle-b"
What is the name of the Weasley's house?,The Burrow,The Weasley's house is called the Burrow.,"rs of his name rearranged
themselves:
I AM LORD VOLDEMORT
“You see?” he whispered. “It was a name I was already using at Hogwarts,
to my most intimate friends only, of course. You think I was going to use my
filthy Muggle father’s name forever? I, in whose veins runs the blood of
Salazar Slytherin himself, through my mother’s side? I, keep the name of a
foul, common Muggle, who abandoned me even before I was born, just
because he found out his wife was a witch? No, Harry — I fashioned myself a
new name, a name I knew wizards everywhere would one day fear to speak,when I had become the greatest sorcerer in the world!”
Harry’s brain seemed to have jammed. He stared numbly at Riddle, at the
orphaned boy who had grown up to murder Harry’s own parents, and so many
others. . . . At last he forced himself to speak.
“You’re not,” he said, his quiet voice full of hatred.
“Not what?” snapped Riddle.
“Not the greatest sorcerer in the world,” said Harry, breathing fast. “Sorry
to disappoint you and all that, but the grea  are, dear. . . .”
“Harry,” said Mr. Weasley quietly, “come over here a moment.”
He jerked his head toward a pillar, and Harry followed him behind it,
leaving the others crowded around Mrs. Weasley.“There’s something I’ve got to tell you before you leave —” said Mr.
Weasley, in a tense voice.
“It’s all right, Mr. Weasley,” said Harry. “I already know.”
“You know? How could you know?”
“I — er — I heard you and Mrs. Weasley talking last night. I couldn’t help
hearing,” Harry added quickly. “Sorry —”
“That’s not the way I’d have chosen for you to find out,” said Mr. Weasley,
looking anxious.
“No — honestly, it’s okay. This way, you haven’t broken your word to
Fudge and I know what’s going on.”
“Harry, you must be very scared —”
“I’m not,” said Harry sincerely. 
“Really,”
 he added, because Mr. Weasley
was looking disbelieving. “I’m not trying to be a hero, but seriously, Sirius
Black can’t be worse than Voldemort, can he?”
Mr. Weasley flinched at the sound of the name but overlooked it.
“Harry, I knew you were,  rom a doorway to the right — the
rest of the school must already be here — but Professor McGonagall showed
the first years into a small, empty chamber off the hall. They crowded in,
standing rather closer together than they would usually have done, peering
about nervously.
“Welcome to Hogwarts,” said Professor McGonagall. “The start-of-term
banquet will begin shortly, but before you take your seats in the Great Hall,
you will be sorted into your Houses. The Sorting is a very importantceremony because, while you are here, your House will be something like
your family within Hogwarts. You will have classes with the rest of your
House, sleep in your House dormitory, and spend free time in your House
common room.
“The four Houses are called Gryffindor, Hufflepuff, Ravenclaw, and
Slytherin. Each House has its own noble history and each has produced
outstanding witches and wizards. While you are at Hogwarts, your triumphs
will earn your House points, while any rule-breaking will lose House points.
At the end of the"
Who is the author of the Harry Potter series?,J.K. Rowling,The author of the Harry Potter series is J.K. Rowling.,"CONTENTS
Harry Potter and the Sorcerer’s Stone
Harry Potter and the Chamber of Secrets
Harry Potter and the Prisoner of Azkaban
Harry Potter and the Goblet of Fire
Harry Potter and the Order of the Phoenix
Harry Potter and the Half-Blood Prince
Harry Potter and the Deathly Hallows 
F
OR
 J
ESSICA
, 
WHO LOVES STORIES
,
FOR
 A
NNE
, 
WHO LOVED THEM TOO
;
AND FOR
 D
I
, 
WHO HEARD THIS ONE FIRST
. 
CONTENTS
ONE
The Boy Who Lived
TWO
The Vanishing Glass
THREE
The Letters from No One
FOUR
The Keeper of the Keys
FIVE
Diagon Alley
SIX
The Journey from Platform Nine and Three-quarters
SEVEN
The Sorting Hat
EIGHT
The Potions Master
NINE
The Midnight Duel
TEN
Halloween
ELEVEN
Quidditch
TWELVEThe Mirror of Erised
THIRTEEN
Nicolas Flamel
FOURTEEN
Norbert the Norwegian Ridgeback
FIFTEEN
The Forbidden Forest
SIXTEEN
Through the Trapdoor
SEVENTEEN
The Man with Two FacesM
 
CHAPTER  ONE
THE BOY WHO LIVED
r. and Mrs. Dursley, of number four, Privet Drive, were proud to say
that they were perfectly normal, thank you very much now-Who’s sign!”
“Voldemort’s — ?”
“Harry, come 
on
!”
Harry turned — Ron was hurriedly scooping up his miniature Krum — the
three of them started across the clearing — but before they had taken a few
hurried steps, a series of popping noises announced the arrival of twenty
wizards, appearing from thin air, surrounding them.
Harry whirled around, and in an instant, he registered one fact: Each of
these wizards had his wand out, and every wand was pointing right at himself,
Ron, and Hermione.
Without pausing to think, he yelled, “DUCK!”
He seized the other two and pulled them down onto the ground.
“STUPEFY!”
 roared twenty voices — there was a blinding series of
flashes and Harry felt the hair on his head ripple as though a powerful wind
had swept the clearing. Raising his head a fraction of an inch he saw jets of
fiery red light flying over them from the wizards’ wands, crossing one
another, bouncing off tree trunks, rebounding into the darkness —
“Stop!” yelled a voice he recognized. “STOP! 
That’s my son!
” at were they after, do you think?”
“Information on the Order, if it was Snape.”
“But you’d think he’d already have all he needed, I mean, he was 
in 
the
Order, wasn’t he?”
“Well then,” said Harry, keen to discuss his theory, “what about
information on Dumbledore? The second page of this letter, for instance. You
know this Bathilda my mum mentions, you know who she is?”
“Who?”
“Bathilda Bagshot, the author of —”
“
A History of Magic,
” said Hermione, looking interested. “So your parents
knew her? She was an incredible magical historian.”
“And she’s still alive,” said Harry, “and she lives in Godric’s Hollow, Ron’s
Auntie Muriel was talking about her at the wedding. She knew Dumbledore’s
family too. Be pretty interesting to talk to, wouldn’t she?”
There was a little too much understanding in the smile Hermione gave him
for Harry’s liking. He took back the letter and the photograph and tucked
them inside the pouch around his neck, so as not to have to look at her and
give himself away.
“I understand why you’d l"
What platform do students use to board the Hogwarts Express?,Platform 9 3/4,"According to the passage, students use Platform 9 3/4 to board the Hogwarts Express.","ough onto
platform nine and three quarters, where the Hogwarts Express stood belching
sooty steam over a platform packed with departing students and their families.Harry inhaled the familiar smell and felt his spirits soar. . . . He was really
going back. . . .
“I hope the others make it in time,” said Mrs. Weasley anxiously, staring
behind her at the wrought-iron arch spanning the platform, through which
new arrivals would come.
“Nice dog, Harry!” called a tall boy with dreadlocks.
“Thanks, Lee,” said Harry, grinning, as Sirius wagged his tail frantically.
“Oh good,” said Mrs. Weasley, sounding relieved, “here’s Alastor with the
luggage, look . . .”
A porter’s cap pulled low over his mismatched eyes, Moody came limping
through the archway pushing a cart full of their trunks.
“All okay,” he muttered to Mrs. Weasley and Tonks. “Don’t think we were
followed . . .”
Seconds later, Mr. Weasley emerged onto the platform with Ron and
Hermione. They had almost unloaded Moody’s luggage cart when Fred,
George, and Ginn  ten. The only tricky part was doing this in an
unobtrusive way, so as to avoid attracting Muggle attention. They did it in
groups today; Harry, Ron, and Hermione (the most conspicuous, since they
were accompanied by Pigwidgeon and Crookshanks) went first; they leaned
casually against the barrier, chatting unconcernedly, and slid sideways
through it . . . and as they did so, platform nine and three-quarters
materialized in front of them.
The Hogwarts Express, a gleaming scarlet steam engine, was already there,
clouds of steam billowing from it, through which the many Hogwarts students
and parents on the platform appeared like dark ghosts. Pigwidgeon became
noisier than ever in response to the hooting of many owls through the mist.
Harry, Ron, and Hermione set off to find seats, and were soon stowing their
luggage in a compartment halfway along the train. They then hopped back
down onto the platform to say good-bye to Mrs. Weasley, Bill, and Charlie.
“I might be seeing you all sooner than you think,” said Char 
It didn’t come . . . he kept on running . . . he opened his eyes.
A scarlet steam engine was waiting next to a platform packed with people.
A sign overhead said Hogwarts Express, eleven o’clock. Harry looked behind
him and saw a wrought-iron archway where the barrier had been, with the
words 
Platform Nine and Three-Quarters
 on it. He had done it.
Smoke from the engine drifted over the heads of the chattering crowd,while cats of every color wound here and there between their legs. Owls
hooted to one another in a disgruntled sort of way over the babble and the
scraping of heavy trunks.
The first few carriages were already packed with students, some hanging
out of the window to talk to their families, some fighting over seats. Harry
pushed his cart off down the platform in search of an empty seat. He passed a
round-faced boy who was saying, “Gran, I’ve lost my toad again.”
“Oh, 
Neville,
” he heard the old woman sigh.
A boy with dreadlocks was surrounded by a small crowd.
“Give us a look, Lee, go on.”
The boy"
What is the name of Harry's godfather?,Sirius Black,The name of Harry's godfather is Sirius Black.," Harry bid him
and Hermione good-bye, then wheeled the trolley bearing his trunk and
Hedwig’s cage toward Uncle Vernon, who greeted him in his usual fashion.
“What’s that?” he snarled, staring at the envelope Harry was still clutching
in his hand. “If it’s another form for me to sign, you’ve got another —”
“It’s not,” said Harry cheerfully. “It’s a letter from my godfather.”
“Godfather?” spluttered Uncle Vernon. “You haven’t got a godfather!”
“Yes, I have,” said Harry brightly. “He was my mum and dad’s best friend.
He’s a convicted murderer, but he’s broken out of Wizard prison and he’s on
the run. He likes to keep in touch with me, though . . . keep up with my
news . . . check if I’m happy. . . .”
And, grinning broadly at the look of horror on Uncle Vernon’s face, Harry
set off toward the station exit, Hedwig rattling along in front of him, for what
looked like a much better summer than the last. 
Text copyright © 1999 by J.K. Rowling.
Cover illustration by Olly Moss © Pottermore Limited 2015.
Interior illus rs of his name rearranged
themselves:
I AM LORD VOLDEMORT
“You see?” he whispered. “It was a name I was already using at Hogwarts,
to my most intimate friends only, of course. You think I was going to use my
filthy Muggle father’s name forever? I, in whose veins runs the blood of
Salazar Slytherin himself, through my mother’s side? I, keep the name of a
foul, common Muggle, who abandoned me even before I was born, just
because he found out his wife was a witch? No, Harry — I fashioned myself a
new name, a name I knew wizards everywhere would one day fear to speak,when I had become the greatest sorcerer in the world!”
Harry’s brain seemed to have jammed. He stared numbly at Riddle, at the
orphaned boy who had grown up to murder Harry’s own parents, and so many
others. . . . At last he forced himself to speak.
“You’re not,” he said, his quiet voice full of hatred.
“Not what?” snapped Riddle.
“Not the greatest sorcerer in the world,” said Harry, breathing fast. “Sorry
to disappoint you and all that, but the grea for me. I used your
name but told them to take the gold from Gringotts vault number seven
hundred and eleven — my own. Please consider it as thirteen birthdays’
worth of presents from your godfather.
I would also like to apologize for the fright I think I gave you that
night last year when you left your uncle’s house. I had only hoped to get
a glimpse of you before starting my journey north, but I think the sight of
me alarmed you.
I am enclosing something else for you, which I think will make your
next year at Hogwarts more enjoyable.
If ever you need me, send word. Your owl will find me.
I’ll write again soon.
Sirius
Harry looked eagerly inside the envelope. There was another piece of
parchment in there. He read it through quickly and felt suddenly as warm and
contented as though he’d swallowed a bottle of hot butterbeer in one gulp.
I, Sirius Black, Harry Potter’s godfather, hereby give him permission to
visit Hogsmeade on weekends.
“That’ll be good enough for Dumbledore!” said Harry happily. He looked
bac"
